id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
952,9098,Marlborough Street,1,26 P&D (Total),Across from Pro Cathedral,,2.90,"Marlborough St 115, 117, Marlborough Place 118",Mon-Sat 07.00-19.00,FALSE,,,"replaced met 116,7987",TRUE,,Yellow,-6.258466,53.351042,02/01/2012 22:45:00,NULL
953,9099,Marlborough Place,1,13 P&D,Opp no 21,,2.90,"Marlborough St 115, 116, 117",Mon-Sat 07.00-19.00,FALSE,,,"replaced met 118,7965",TRUE,,Yellow,-6.257922,53.349841,02/01/2012 22:45:00,NULL
954,9100,Northumberland Square,1,2 P&D,Side of Irish Life / On Bend In The Road,10/05/2000,2.90,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,"replaced met, 530,7921 08/12/2009",TRUE,,Yellow,-6.256051,53.349249,02/01/2012 22:45:00,NULL
955,9101,Beresford Lane,1,7 P&D,Side of Social Welfare,,2.90,"Talbot St 481, Gardiner St Lwr 119, 121",Mon-Sat 07.00-19.00,FALSE,,,"replaced met, 378,7819  08/12/2009",TRUE,,Yellow,-6.254329,53.349844,02/01/2012 22:45:00,NULL
956,9102,Talbot Street,1,20 P&D (Total),Michael Guiney,27/03/2000,2.90,"Gardiner St Lwr 119, 121","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 481  08/12/2009",TRUE,,Yellow,-6.255303,53.350541,02/01/2012 22:45:00,NULL
957,9103,Clontarf Road Car Park,,,,01/03/2010,0.60,At Railway Bridge,Mon-Fri  08.00-18.00,FALSE,,,,FALSE,,Blue,-6.223931,53.363243,02/01/2012 22:45:00,NULL
958,9105,Baggot Street Lower,2,97 P&D + 4 DP (Total),Number 94,19/04/1999,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met 7617,TRUE,,Yellow,-6.247259,53.33551,02/01/2012 22:45:00,NULL
959,9106,Baggot Street Lower,2,97 P&D + 4 DP (Total),Number 103,19/04/1999,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,"replaced met, 3272,7628",TRUE,,Yellow,-6.247927,53.335945,02/01/2012 22:45:00,NULL
960,9107,Baggot Street Lower,2,97 P&D + 4 DP (Total),Bank Of Ireland,,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,"replaced met, 3249,7561",TRUE,,Yellow,-6.247664,53.336048,02/01/2012 22:45:00,NULL
961,9108,Dame Court,2,18 P&D (Total),Opposite Exchequer Bar,,2.90,"Dame Court 2035, Exchequer St 2013","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2024",TRUE,,Yellow,-6.263635,53.343348,02/01/2012 22:45:00,NULL
962,9109,Dame Court,2,18 P&D (Total),Exchequer Bar,,2.90,"Dame Court 2024, Exchequer St 2013","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2035",TRUE,,Yellow,-6.263766,53.343313,02/01/2012 22:45:00,NULL
963,9110,Drury Street,2,7 P&D,Number 17,01/02/2000,2.90,"Fade St 2068, William St Sth 2046, Exchequer St 2013","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2057",TRUE,,Yellow,-6.263572,53.34199,02/01/2012 22:45:00,NULL
964,9111,Fade Street,2,6 P&D + 6 DP,No 13,27/03/2000,2.90,"Drury St 2057, Exchequer St 2013","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,replaced met 2068,TRUE,,Yellow,-6.264418,53.342121,02/01/2012 22:45:00,NULL
965,9112,William Street South,2,9 P&D / DP,No 29-31,27/03/2000,2.90,"Clarendon Row 2529, Drury St 2057","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2046 03/08/2010",TRUE,,Yellow,-6.263116,53.341439,02/01/2012 22:45:00,NULL
966,9113,Clarendon Row / Chatham Street,2,15 P&D,Corner of Chatham St,,2.90,Willam St Sth 2046,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2529 03/08/2010",TRUE,,Yellow,-6.262367,53.340891,02/01/2012 22:45:00,NULL
967,9114,Frederick Street South,2,33 P&D (Total),Corner of Setanta Place,08/03/2001,2.90,"Frederick St Sth 1810, 1821, Nassau St 1955, 1966","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"Replaced Meter no 100,1832",TRUE,,Yellow,-6.256611,53.34188,02/01/2012 22:45:00,NULL
968,9115,Frederick Street South,2,33 P&D (Total),No 3-4,,2.90,"Frederick St Sth 1821, 1832, 4 On Molesworth St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,Mon - Sat,"replaced met,1810",TRUE,,Yellow,-6.256901,53.341533,02/01/2012 22:45:00,NULL
969,9116,Bow Lane East,2,9 P&D,"Junction of Mercer Street, N'side",,2.90,"4 On York Street, 5 On Mercer St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,1708",TRUE,,Yellow,-6.264184,53.339789,02/01/2012 22:45:00,NULL
970,9117,Ormond Quay Upper,7,10 P&D (Total),Liffey Side Opp Number 27,,2.90,5 On Ormond Quay Upper,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2462 03/08/2010",TRUE,,Yellow,-6.270509,53.34565,02/01/2012 22:45:00,NULL
