No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comments 1,Further Information,Finished,Comment 2,X_Value,Y_Value,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
1056,Fenian Street,2,38 P n D + 9 DP (Total),Opp Dargan Hse,,€ 2.90,5 On Fenian St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.280,TRUE,,316746.6551,233779.6481,Yellow,Y,"<Point><coordinates>-6.24793,53.341606</coordinates></Point>","-6.24793,53.341606</coordinates></Point>","-6.24793,53.341606",-6.24793,53.341606
1191,Fenian Street,2,38 P n D + 9 DP (Total),No 19-20,,€ 2.90,5 On Fenian St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.279,TRUE,,316773.8422,233763.406,Yellow,Y,"<Point><coordinates>-6.247528,53.341454</coordinates></Point>","-6.247528,53.341454</coordinates></Point>","-6.247528,53.341454",-6.247528,53.341454
1225,Adelaide Road,2,68 P n D + 14 DP (Total),Near the Eye  n  Ear Hospital,,€ 2.90,6 On Adelaide Rd,Mon-Sat 07.00-19.00,FALSE,,,replaced met.152,TRUE,,316297.8644,232734.6519,Yellow,Y,"<Point><coordinates>-6.255047,53.33232</coordinates></Point>","-6.255047,53.33232</coordinates></Point>","-6.255047,53.33232",-6.255047,53.33232
1236,Hatch Street Lower,2,49 P n D + 3 DP (Total),No 12,,€ 2.90,5 On Hatch St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.137,TRUE,,316186.352,232921.4528,Yellow,Y,"<Point><coordinates>-6.256652,53.334022</coordinates></Point>","-6.256652,53.334022</coordinates></Point>","-6.256652,53.334022",-6.256652,53.334022
1269,Adelaide Road,2,68 P n D + 14 DP (Total),No 61,,€ 2.90,6 On Adelaide Rd,Mon-Sat 0.700-19.00,FALSE,,,replaced met.151.,TRUE,,316170.6758,232769.1492,Yellow,Y,"<Point><coordinates>-6.256943,53.332657</coordinates></Point>","-6.256943,53.332657</coordinates></Point>","-6.256943,53.332657",-6.256943,53.332657
1450,Adelaide Road,2,68 P n D + 14 DP (Total),No 25-28,,€ 2.90,6 On Adelaide Rd,Mon-Sat 07.00-19.00,FALSE,,,replaced met.147.,TRUE,,316240.7657,232733.9062,Yellow,Y,"<Point><coordinates>-6.255904,53.332325</coordinates></Point>","-6.255904,53.332325</coordinates></Point>","-6.255904,53.332325",-6.255904,53.332325
1461,Fenian Street,2,38 P n D + 9 DP (Total),Opposite The Ginger Man,,€ 2.90,5 On Fenian St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.508,TRUE,,316629,233791,Yellow,Y,"<Point><coordinates>-6.249691,53.341734</coordinates></Point>","-6.249691,53.341734</coordinates></Point>","-6.249691,53.341734",-6.249691,53.341734
1472,Fenian Street,2,38 P n D + 9 DP (Total),Opp 9-10,,€ 2.90,5 On Fenian St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.281.,TRUE,,316838.0192,233765.8187,Yellow,Y,"<Point><coordinates>-6.246564,53.341461</coordinates></Point>","-6.246564,53.341461</coordinates></Point>","-6.246564,53.341461",-6.246564,53.341461
1551,Leeson Lane,2,12 P n D,Opposite Number 4 / At Entrance To TSB,,€ 2.90,12 On St. Stephen's Green,Mon-Sat 07.00-19.00,FALSE,Check Times,,,TRUE,,316226,233153,Yellow,Y,"<Point><coordinates>-6.255972,53.336093</coordinates></Point>","-6.255972,53.336093</coordinates></Point>","-6.255972,53.336093",-6.255972,53.336093
3069,Mount Street Upper,2,74 P n D + 4 DP (Total),No 16,12/09/1998,€ 2.90,6 On Mount St Upr,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,316899.2239,233337.5198,Yellow,Y,"<Point><coordinates>-6.245803,53.337602</coordinates></Point>","-6.245803,53.337602</coordinates></Point>","-6.245803,53.337602",-6.245803,53.337602
3104,Mount Street Lower,2,39 P n D + 1 DP (Total),Near Knockmaun House,12/09/1998,€ 2.90,4 On Mount Street Lwr,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,317163.2113,233385.1531,Yellow,Y,"<Point><coordinates>-6.241824,53.337971</coordinates></Point>","-6.241824,53.337971</coordinates></Point>","-6.241824,53.337971",-6.241824,53.337971
3115,Mount Street Lower,2,39 P n D + 1 DP (Total),No 33-41,12/09/1998,€ 2.90,4 On Mount Street Lwr,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,317102.6233,233416.7486,Yellow,Y,"<Point><coordinates>-6.242722,53.338268</coordinates></Point>","-6.242722,53.338268</coordinates></Point>","-6.242722,53.338268",-6.242722,53.338268
3494,Clanwilliam Place,2,10 P n D / DP (Total),Marine House,12/09/1998,€ 2.90,Clanwilliam Place 3483,Mon-Fri 08.00-18.30,FALSE,,Mon - Fri,replaced met.194,TRUE,,317299.6644,233424.9136,Yellow,Y,"<Point><coordinates>-6.239762,53.338298</coordinates></Point>","-6.239762,53.338298</coordinates></Point>","-6.239762,53.338298",-6.239762,53.338298
3527,Grattan Street,2,29 P n D / DP,Off Mount Street Lower,,€ 2.90,4 On Mount St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.315,TRUE,,316997.3563,233521.4539,Yellow,Y,"<Point><coordinates>-6.244263,53.339232</coordinates></Point>","-6.244263,53.339232</coordinates></Point>","-6.244263,53.339232",-6.244263,53.339232
7000,Herbert Street,2,71 P n D + 27 DP (Total),No 30,,€ 2.90,6 On Herbert St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.3171.,TRUE,,316956.3091,233189.0728,Yellow,Y,"<Point><coordinates>-6.245001,53.336256</coordinates></Point>","-6.245001,53.336256</coordinates></Point>","-6.245001,53.336256",-6.245001,53.336256
7022,Shelbourne Road,,,opposite meter 290,10/11/2010,€ 2.90,,Mon-Sat 08.00-16.00,TRUE,After 16.00,,,FALSE,,317857.12,232731.29,Yellow,Y,"<Point><coordinates>-6.231656,53.331945</coordinates></Point>","-6.231656,53.331945</coordinates></Point>","-6.231656,53.331945",-6.231656,53.331945
7145,Strand Road (South Car Park),,41 P n D and 4Disabled bays,,,€ 0.60,none near enough,Mon-Fri. 11.00-17.00,FALSE,,No max Stay,installed 21/04/2011,FALSE,,319572.83,231682.99,blue,Y,"<Point><coordinates>-6.206311,53.322146</coordinates></Point>","-6.206311,53.322146</coordinates></Point>","-6.206311,53.322146",-6.206311,53.322146
7156,Cumberland Street North,1,21 P n D,Opposite Hill Street,23/04/2002,€ 2.90,Parnell St 277,Mon-Fri 07.00-19.00  n  Sat 14.00-19.00,FALSE,,,replaced met.61           06/2009,FALSE,,316042.7598,235076.5435,Yellow,Y,"<Point><coordinates>-6.258017,53.353408</coordinates></Point>","-6.258017,53.353408</coordinates></Point>","-6.258017,53.353408",-6.258017,53.353408
7167,Earlsfort Terrace,2,60 P n D (Total),Concert Hall,,€ 2.90,6 On Earlsfort Terrace,Mon-Sat 07.00-19.00,FALSE,,,replaced met.11,TRUE,,316079.7646,233002.8366,Yellow,Y,"<Point><coordinates>-6.258221,53.334776</coordinates></Point>","-6.258221,53.334776</coordinates></Point>","-6.258221,53.334776",-6.258221,53.334776
7178,Earlsfort Terrace,2,60 P n D (Total),Near Number 23,,€ 2.90,6 On Earlsfort Terrace,Mon-Sat 07.00-16.00,TRUE,After 16.00,,replaced met.448,TRUE,,316043.6228,232804.691,Yellow,Y,"<Point><coordinates>-6.258836,53.333004</coordinates></Point>","-6.258836,53.333004</coordinates></Point>","-6.258836,53.333004",-6.258836,53.333004
7235,Leo Street,7,38 P n D / DP,Corner of Josephine St,25/06/2001,€ 2.40,Synott Place 436,Mon-Fri 08.00-18.30,FALSE,,,replaced met.711 01/03/2010,FALSE,,315610,235684,Red,Y,"<Point><coordinates>-6.264291,53.358958</coordinates></Point>","-6.264291,53.358958</coordinates></Point>","-6.264291,53.358958",-6.264291,53.358958
7257,Oliver Bond Street,8,76 P n D / DP (Total),Good Counsel Centre,,€ 2.40,Cornmarket 583,Mon-Fri 08.00-18.30,FALSE,,,replaced met.373,TRUE,,314815.7991,234007.6431,Red,Y,"<Point><coordinates>-6.276822,53.344076</coordinates></Point>","-6.276822,53.344076</coordinates></Point>","-6.276822,53.344076",-6.276822,53.344076
7279,Herbert Avenue,4,15 P n D / DP,Opposite Number 4,,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,replaced met.821,FALSE,,319420,231084,Orange,Y,"<Point><coordinates>-6.208829,53.316801</coordinates></Point>","-6.208829,53.316801</coordinates></Point>","-6.208829,53.316801",-6.208829,53.316801
7314,St. Joseph's Street,7,21 P n D,At No. 18,,€ 2.40,Leo Street 711,Mon-Sun 07.00-24.00,FALSE,,,replaced met 881  12/06/2009,TRUE,,315620,235742,Red,Y,"<Point><coordinates>-6.26412,53.359477</coordinates></Point>","-6.26412,53.359477</coordinates></Point>","-6.26412,53.359477",-6.26412,53.359477
7336,Military Road (Rathmines),6,25 P n D / DP,School,,€ 1.60,William's Pk 291,Mon-Fri 08.00-18.30,FALSE,,,replaced met.292,TRUE,,315548.5275,232121.1995,Green,Y,"<Point><coordinates>-6.266513,53.326974</coordinates></Point>","-6.266513,53.326974</coordinates></Point>","-6.266513,53.326974",-6.266513,53.326974
7404,Eccles Street,7,36 P n D + 16 DP (Total),Opp. Mater Hospital,,€ 2.40,Opposite Mater Hospital,Mon-Sat 07.00-19.00,FALSE,,,replaced met 703   12/06/2009,TRUE,,315584.67,235542.14,Red,Y,"<Point><coordinates>-6.264723,53.357689</coordinates></Point>","-6.264723,53.357689</coordinates></Point>","-6.264723,53.357689",-6.264723,53.357689
7448,Hatch Street Lower,2,49 P n D + 3 DP (Total),Colour Copy Centre,,€ 2.90,5 On Hatch St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.138,TRUE,,316252.1639,232936.3643,Yellow,Y,"<Point><coordinates>-6.255659,53.334141</coordinates></Point>","-6.255659,53.334141</coordinates></Point>","-6.255659,53.334141",-6.255659,53.334141
7471,Beechwood Avenue Lower,6,126 P n D / DP,Opposite Ulster Bank,,€ 1.60,Elmpark Avenue 297,Mon-Sat 07.00-24.00,FALSE,,,replaced met.302,TRUE,,316417.1562,231855.9987,Green,Y,"<Point><coordinates>-6.25358,53.324402</coordinates></Point>","-6.25358,53.324402</coordinates></Point>","-6.25358,53.324402",-6.25358,53.324402
7482,Strand Road(North Car Park),,41 P n D 4 Disabled Bays,,,€ 0.60,none near enough,Mon-Fri 11.00-17.00,FALSE,,No Max stay,installed 21/04/2011,FALSE,,319394.6,232372.57,Blue,Y,"<Point><coordinates>-6.208725,53.328379</coordinates></Point>","-6.208725,53.328379</coordinates></Point>","-6.208725,53.328379",-6.208725,53.328379
7516,Bow Street,7,8 P n D + 8 DP,Opposite Junction Of May Lane,,€ 2.40,New Church St 582,Mon-Sat 07.00-19.00,FALSE,,,replaced met.427    12/06/2009,TRUE,,314813,234465,Red,Y,"<Point><coordinates>-6.276698,53.348184</coordinates></Point>","-6.276698,53.348184</coordinates></Point>","-6.276698,53.348184",-6.276698,53.348184
7583,Baggot Street Lower,2,97 P n D + 4 DP (Total),Francis Bacon House,,€ 2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.3261,FALSE,,316833.0659,233110.2383,Yellow,Y,"<Point><coordinates>-6.24688,53.335575</coordinates></Point>","-6.24688,53.335575</coordinates></Point>","-6.24688,53.335575",-6.24688,53.335575
7606,Baggot Street Lower,2,97 P n D + 4 DP (Total),Number 116,16/05/2002,€ 2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1461,TRUE,,316632.6045,233260.7958,Yellow,Y,"<Point><coordinates>-6.249832,53.336971</coordinates></Point>","-6.249832,53.336971</coordinates></Point>","-6.249832,53.336971",-6.249832,53.336971
7639,North Wall Quay,1,31 P n D (Total),At Tilesavers,13/04/2002,€ 1.60,Nth Wall Quay 475,Mon-Sat 07.00-19.00,FALSE,,,replaced met.156  12/06/2009,FALSE,,317591.0834,234434.859,Green,Y,"<Point><coordinates>-6.235015,53.347303</coordinates></Point>","-6.235015,53.347303</coordinates></Point>","-6.235015,53.347303",-6.235015,53.347303
7695,Grove Park,6,111 P n D / DP,No 59 - 60,,€ 1.60,None Nearby,Mon-Sun 07.00-24.00,FALSE,,P n D Mon - Fri,replaced met.229   12/06/2009,TRUE,,315458.9889,232365.9015,Green,Y,"<Point><coordinates>-6.267767,53.329191</coordinates></Point>","-6.267767,53.329191</coordinates></Point>","-6.267767,53.329191",-6.267767,53.329191
7729,Pembroke Street Lower,,,,,€ 2.90,,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1528,FALSE,,316433,233167,Yellow,Y,"<Point><coordinates>-6.252861,53.336173</coordinates></Point>","-6.252861,53.336173</coordinates></Point>","-6.252861,53.336173",-6.252861,53.336173
7808,Cambridge Avenue,,,,,,none,Mon-Sun 07-24.00,FALSE,,installed April 2011,,FALSE,,318846.22,233959.47,Orange,Y,"<Point><coordinates>-6.216356,53.342754</coordinates></Point>","-6.216356,53.342754</coordinates></Point>","-6.216356,53.342754",-6.216356,53.342754
7831,Ardee Road,6,26 P n D / DP,Junction with Williams Park,,€ 1.60,Military Rd 292,Mon-Fri 08.00-18.30,FALSE,,,replaced met.291   12/06/2009,TRUE,,315526.38,231945.91,Green,Y,"<Point><coordinates>-6.266909,53.325405</coordinates></Point>","-6.266909,53.325405</coordinates></Point>","-6.266909,53.325405",-6.266909,53.325405
7842,Ashfield Avenue,6,26 P n D / DP,Corner of Ashfield Road,,€ 1.60,Mornington Rd 303,Mon-Sun 07.00-24.00,FALSE,,P n D Mon - Fri,replaced met.230   15/09/2009,TRUE,,316477.8209,231753.4185,Green,Y,"<Point><coordinates>-6.252708,53.323468</coordinates></Point>","-6.252708,53.323468</coordinates></Point>","-6.252708,53.323468",-6.252708,53.323468
7853,Merrion Square East,2,65 P n D (Total),No 40,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,E.Side Sth of Mount St Lwr,TRUE,,316835.2813,233498.5771,Yellow,Y,"<Point><coordinates>-6.246703,53.339062</coordinates></Point>","-6.246703,53.339062</coordinates></Point>","-6.246703,53.339062",-6.246703,53.339062
7864,Elmwood Avenue Lower,6,68 P n D / DP,Opp no 10,,€ 1.60,Elmpark Ave 297,Mon-Sat 07.00-24.00,FALSE,,,replaced met.41  12/06/2009,TRUE,,316308.3078,231861.0265,Green,Y,"<Point><coordinates>-6.255211,53.324471</coordinates></Point>","-6.255211,53.324471</coordinates></Point>","-6.255211,53.324471",-6.255211,53.324471
7875,Merrion Square North,2,35 P n D (Total),Opp No 16,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,S.Side,TRUE,,316689.581,233640.6274,Yellow,Y,"<Point><coordinates>-6.248837,53.34037</coordinates></Point>","-6.248837,53.34037</coordinates></Point>","-6.248837,53.34037",-6.248837,53.34037
7909,Merrion Square South,2,165 P n D + 26 DP (Total),Opp no 64,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1023,TRUE,,316544.8212,233519.6047,Yellow,Y,"<Point><coordinates>-6.251054,53.339315</coordinates></Point>","-6.251054,53.339315</coordinates></Point>","-6.251054,53.339315",-6.251054,53.339315
7910,Merrion Square South,2,165 P n D + 26 DP (Total),No 55,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1034,TRUE,,316579.6191,233500.6248,Yellow,Y,"<Point><coordinates>-6.250539,53.339137</coordinates></Point>","-6.250539,53.339137</coordinates></Point>","-6.250539,53.339137",-6.250539,53.339137
7932,Merrion Square South,2,165 P n D + 26 DP (Total),No 65,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.10456,TRUE,,316659.91,233455.4033,Yellow,Y,"<Point><coordinates>-6.249351,53.338713</coordinates></Point>","-6.249351,53.338713</coordinates></Point>","-6.249351,53.338713",-6.249351,53.338713
7954,Merrion Square South,2,165 P n D + 26 DP (Total),No 76,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,S.Side,TRUE,,316692.8826,233437.1048,Yellow,Y,"<Point><coordinates>-6.248863,53.338541</coordinates></Point>","-6.248863,53.338541</coordinates></Point>","-6.248863,53.338541",-6.248863,53.338541
7976,Dorset Street Lower,1,10 P n D,At lighting pole 16,,€ 2.90,None Nearby (In The Same Zone),Mon-Sat 07.00-19.00,FALSE,,Indent parking,,TRUE,,315503,235230,Yellow,Y,"<Point><coordinates>-6.266063,53.354904</coordinates></Point>","-6.266063,53.354904</coordinates></Point>","-6.266063,53.354904",-6.266063,53.354904
7998,Strand Road (Car Park@ Martello Tower),,39 P n D 4 Disabled Bays,,,€ 0.60,none near enough,Mon-Fri. 11.00-17.00,FALSE,,No Max Stay,Installed 21/04/2011,FALSE,,319539.62,231932,Blue,Y,"<Point><coordinates>-6.206715,53.32439</coordinates></Point>","-6.206715,53.32439</coordinates></Point>","-6.206715,53.32439",-6.206715,53.32439
8011,Baggot Street Lower,2,97 P n D + 4 DP (Total),O2 House,27/03/2000,€ 2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.488,TRUE,,316876.2031,233021.4263,Yellow,Y,"<Point><coordinates>-6.246265,53.334768</coordinates></Point>","-6.246265,53.334768</coordinates></Point>","-6.246265,53.334768",-6.246265,53.334768
8033,Richmond Cottages,2,50 P+D/DP,Side of no.20 Richmond Cottages,17/02/2009,€ 1.60,o/s No. 23 NCR,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,316570,235591,Green,Y,"<Point><coordinates>-6.249914,53.357912</coordinates></Point>","-6.249914,53.357912</coordinates></Point>","-6.249914,53.357912",-6.249914,53.357912
8066,Cardiff Lane,2,44 P n D / DP,At Arena Kitchen Architecture,,€ 2.40,Macken St 44,Mon-Fri 08.00-18.30,FALSE,,,replaced met.3362,TRUE,,317221,234239,Red,Y,"<Point><coordinates>-6.240642,53.345626</coordinates></Point>","-6.240642,53.345626</coordinates></Point>","-6.240642,53.345626",-6.240642,53.345626
9000,Baggot Street Lower,2,97 P n D + 4 DP (Total),Number 135,15/05/2002,€ 2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7550   12/05/2009,TRUE,,316492.3878,233335.1639,Yellow,Y,"<Point><coordinates>-6.251908,53.33767</coordinates></Point>","-6.251908,53.33767</coordinates></Point>","-6.251908,53.33767",-6.251908,53.33767
9001,Dominick Street Lower,1,96 P n D + 18 DP (Total),At flats,,€ 2.90,7 On Dominick St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced meter 7099  12/05/2009,TRUE,,315496.7129,234894.9862,Yellow,Y,"<Point><coordinates>-6.26628,53.351897</coordinates></Point>","-6.26628,53.351897</coordinates></Point>","-6.26628,53.351897",-6.26628,53.351897
9002,Dominick Street Lower,1,96 P n D + 18 DP (Total),Opp Church,,€ 2.90,7 On Dominick St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced meter 9006 12/05/2009,TRUE,,315421.5243,234940.9575,Yellow,Y,"<Point><coordinates>-6.267392,53.352326</coordinates></Point>","-6.267392,53.352326</coordinates></Point>","-6.267392,53.352326",-6.267392,53.352326
9006,Fitzwilliam Square West,,,,,€ 2.90,,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7730   12/05/2009,FALSE,,316430,233117,Yellow,Y,"<Point><coordinates>-6.252925,53.335724</coordinates></Point>","-6.252925,53.335724</coordinates></Point>","-6.252925,53.335724",-6.252925,53.335724
9007,King's Inns Street,1,45 P n D (Total),At College,,€ 2.90,4 On King's Inns St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7202   12/05/2009,TRUE,,315382.4179,234861.496,Yellow,Y,"<Point><coordinates>-6.268008,53.351621</coordinates></Point>","-6.268008,53.351621</coordinates></Point>","-6.268008,53.351621",-6.268008,53.351621
9008,Merrion Square East,2,65 P n D (Total),Opp no 42,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7831  20/05/2009,TRUE,,316808.6802,233488.7696,Yellow,Y,"<Point><coordinates>-6.247106,53.33898</coordinates></Point>","-6.247106,53.33898</coordinates></Point>","-6.247106,53.33898",-6.247106,53.33898
9009,Merrion Square North,2,35 P n D (Total),Opp no 22,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7864   20/05/2009,TRUE,,316748.908,233607.5718,Yellow,Y,"<Point><coordinates>-6.247959,53.34006</coordinates></Point>","-6.247959,53.34006</coordinates></Point>","-6.247959,53.34006",-6.247959,53.34006
9010,Merrion Square North,2,35 P n D (Total),Opp No 10,,€ 2.90,18 On Merrion Square,Mon-Fri 07.00-19.00,FALSE,,,replaced met.7886   20/05/2009,TRUE,,316641.3711,233667.0136,Yellow,Y,"<Point><coordinates>-6.249551,53.340617</coordinates></Point>","-6.249551,53.340617</coordinates></Point>","-6.249551,53.340617",-6.249551,53.340617
9011,Merrion Square South,2,165 P n D + 26 DP (Total),No 81,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7976   12/05/2009,TRUE,,316730.9824,233437.812,Yellow,Y,"<Point><coordinates>-6.248291,53.338539</coordinates></Point>","-6.248291,53.338539</coordinates></Point>","-6.248291,53.338539",-6.248291,53.338539
9012,Merrion Square South,2,165 P n D + 26 DP (Total),No 69,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7943    12/05/2009,TRUE,,316682.4516,233465.1271,Yellow,Y,"<Point><coordinates>-6.249009,53.338795</coordinates></Point>","-6.249009,53.338795</coordinates></Point>","-6.249009,53.338795",-6.249009,53.338795
9013,Merrion Square South,2,165 P n D + 26 DP (Total),Opp no 56,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7897    12/05/2009,TRUE,,316511.6396,233537.9689,Yellow,Y,"<Point><coordinates>-6.251545,53.339487</coordinates></Point>","-6.251545,53.339487</coordinates></Point>","-6.251545,53.339487",-6.251545,53.339487
9014,Merrion Street Upper,2,20 P n D,Opp no 80,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.8000,TRUE,,316511,233605,Yellow,Y,"<Point><coordinates>-6.25153,53.340089</coordinates></Point>","-6.25153,53.340089</coordinates></Point>","-6.25153,53.340089",-6.25153,53.340089
9020,St. Stephen's Green East,2,61 P n D (Total),Outside Loretto College at LS70,,€ 2.90,12 on St. Stephen's Green and 2 on Hume Street,Mon-Sat 07.00-19.00  Sun 14.00-18.00,FALSE,,,replaced met.7426   12/05/2009,FALSE,,316213,233308,Yellow,Y,"<Point><coordinates>-6.256111,53.337487</coordinates></Point>","-6.256111,53.337487</coordinates></Point>","-6.256111,53.337487",-6.256111,53.337487
9038,Clontarf Road,,In Car Park,Centre of car park opposite Church Hall,12/02/2010,€ 0.60,,Mon-Fri 08-18.00,FALSE,,no max stay,,FALSE,,318699,236122,Blue,,"<Point><coordinates>-6.217755,53.362208</coordinates></Point>","-6.217755,53.362208</coordinates></Point>","-6.217755,53.362208",-6.217755,53.362208
9042,Baggot Street Lower,2,97 P n D + 4 DP (Total),Tesco,15/05/2002,€ 2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7594           20/05/2009,TRUE,,316505.8574,233350.3503,Yellow,Y,"<Point><coordinates>-6.251701,53.337803</coordinates></Point>","-6.251701,53.337803</coordinates></Point>","-6.251701,53.337803",-6.251701,53.337803
9049,Merrion Square South,2,165 P n D + 26 DP (Total),No 85,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7965            20/05/2009,TRUE,,316727.358,233418.0107,Yellow,Y,"<Point><coordinates>-6.248352,53.338362</coordinates></Point>","-6.248352,53.338362</coordinates></Point>","-6.248352,53.338362",-6.248352,53.338362
9050,Merrion Square West,2,65 P n D (Total),Opp Leinster House,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7987            20/05/2009,TRUE,,316544.0709,233662.0238,Yellow,Y,"<Point><coordinates>-6.251013,53.340594</coordinates></Point>","-6.251013,53.340594</coordinates></Point>","-6.251013,53.340594",-6.251013,53.340594
9056,Leinster Square,6,50 P n D,Across from number 7,,€ 1.60,Leinster Rd 610,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,315561,231735,Green,Y,"<Point><coordinates>-6.266467,53.323503</coordinates></Point>","-6.266467,53.323503</coordinates></Point>","-6.266467,53.323503",-6.266467,53.323503
9058,Merrion Square East,2,65 P n D (Total),Opp no 47,,€ 2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met 7842,TRUE,,316779.6608,233437.314,Yellow,Y,"<Point><coordinates>-6.24756,53.338524</coordinates></Point>","-6.24756,53.338524</coordinates></Point>","-6.24756,53.338524",-6.24756,53.338524
9077,Carlingford Road,,117  + 3 disabled,Jct Glenarm Avenue,,€ 1.60,850 Glenarm Avenue,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,316054,236522,Green,Y,"<Point><coordinates>-6.257319,53.366387</coordinates></Point>","-6.257319,53.366387</coordinates></Point>","-6.257319,53.366387",-6.257319,53.366387
9078,Clontarf Road,,In car Park,Centre of CP opposite Church Grounds,29/01/2010,€ 0.60,,Mon-Fri 11.00-18.00,FALSE,,3 hour max,Meter in Car Park replaced mt.7471.01/12/2010,FALSE,,320044,235825,Blue,,"<Point><coordinates>-6.197675,53.359237</coordinates></Point>","-6.197675,53.359237</coordinates></Point>","-6.197675,53.359237",-6.197675,53.359237
9103,Clontarf Road Car Park,,,,01/03/2010,€ 0.60,At Railway Bridge,Mon-Fri  08.00-18.00,FALSE,,,,FALSE,,318285,236227,Blue,Y,"<Point><coordinates>-6.223931,53.363243</coordinates></Point>","-6.223931,53.363243</coordinates></Point>","-6.223931,53.363243",-6.223931,53.363243
9105,Baggot Street Lower,2,97 P n D + 4 DP (Total),Number 94,19/04/1999,€ 2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met 7617,TRUE,,316807.9729,233102.3439,Yellow,Y,"<Point><coordinates>-6.247259,53.33551</coordinates></Point>","-6.247259,53.33551</coordinates></Point>","-6.247259,53.33551",-6.247259,53.33551
9155,Capel Street,1,75 P n D (Total),At CASA Charity Shop,28/03/2007,€ 2.90,8 on Capel Street,Mon-Sat 07.00-19.00 Sun14.00-18.00,FALSE,,,,FALSE,,315371,234414,Yellow,Y,"<Point><coordinates>-6.268342,53.347604</coordinates></Point>","-6.268342,53.347604</coordinates></Point>","-6.268342,53.347604",-6.268342,53.347604
9180,Fortfield Terrace,,60,at no. 33,11/01/2011,€ 2.40,812(Cowper Rd)991 Rathmines Rd,Mon-Fri 07.00-19.00,FALSE,,,New,FALSE,,315878,230771,Red,Y,"<Point><coordinates>-6.262064,53.314776</coordinates></Point>","-6.262064,53.314776</coordinates></Point>","-6.262064,53.314776",-6.262064,53.314776
9195,Gardiner Place,1,22 P n D + 10 DP (Total),outside no.13,,€ 2.40,Gardiner Place 267,Mon-Sat 07.00-19.00,FALSE,,,mt. 268 changed 15/03/2011,TRUE,,315907.02,235408.25,Red,Y,"<Point><coordinates>-6.259933,53.356416</coordinates></Point>","-6.259933,53.356416</coordinates></Point>","-6.259933,53.356416",-6.259933,53.356416
