No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comments 1,Further Information,Finished,Comment 2,X_Value,Y_Value,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
951,Benson Street,,,junction of Green Street East,,€ 1.60,950 at Fitsimons Business Centre,Mon-Fri. 08.00-18.00,FALSE,,,,FALSE,,317719.27,234117.92,Green,,"<Point><coordinates>-6.233209,53.344428</coordinates></Point>","-6.233209,53.344428</coordinates></Point>","-6.233209,53.344428",-6.233209,53.344428
952,Lombard Street West,,,opp. No.38,,€ 2.40,,Mon-Fri  08.00-18.30,FALSE,,,,FALSE,,315029.4,232893.88,Red,Y,"<Point><coordinates>-6.27402,53.334027</coordinates></Point>","-6.27402,53.334027</coordinates></Point>","-6.27402,53.334027",-6.27402,53.334027
953,Carlisle Street,,,Junct. SCRd,,€ 2.40,none nearby,Mon-Sun  07.00-24.00,FALSE,,,,FALSE,,315215,232730,Red,,"<Point><coordinates>-6.271295,53.332514</coordinates></Point>","-6.271295,53.332514</coordinates></Point>","-6.271295,53.332514",-6.271295,53.332514
954,Arnott Street,,,O/S No. 5,,€ 2.40,None Nearby,Mon-Sat  07.00-19.00,FALSE,,,,FALSE,,315315,232932,Red,Y,"<Point><coordinates>-6.269722,53.334307</coordinates></Point>","-6.269722,53.334307</coordinates></Point>","-6.269722,53.334307",-6.269722,53.334307
955,Parkview Place,,,side of 14 St. Patricks Villas,,€ 1.00,None nearby,Mon-Fri  .07.00-19.00,FALSE,,,,FALSE,,318184,233855,Red,,"<Point><coordinates>-6.226333,53.341964</coordinates></Point>","-6.226333,53.341964</coordinates></Point>","-6.226333,53.341964",-6.226333,53.341964
957,Kimmage Road,,13 P/D,on inset opposite no.100A,,€ 1.60,none nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,314298,231399,Green,Y,"<Point><coordinates>-6.285533,53.320759</coordinates></Point>","-6.285533,53.320759</coordinates></Point>","-6.285533,53.320759",-6.285533,53.320759
958,Palmerston Road,,57 P n D,At side door 4B,,€ 1.00,Palmerston Park 959,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,316142,230697,Orange,Y,"<Point><coordinates>-6.258132,53.314054</coordinates></Point>","-6.258132,53.314054</coordinates></Point>","-6.258132,53.314054",-6.258132,53.314054
959,Palmerston Park,,40 P n D,Junction of Palmerston Road,,€ 1.00,Palmerston Rd.   958,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,316128,230633,Orange,Y,"<Point><coordinates>-6.258365,53.313482</coordinates></Point>","-6.258365,53.313482</coordinates></Point>","-6.258365,53.313482",-6.258365,53.313482
960,Richview Ave,,16 P n D,Junction Richmond Ave,,€ 1.00,None nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,316437,230606,Orange,Y,"<Point><coordinates>-6.253741,53.313172</coordinates></Point>","-6.253741,53.313172</coordinates></Point>","-6.253741,53.313172",-6.253741,53.313172
963,Sheriff Street,,,,31/08/2009,€ 1.60,,Mon-Fri 07.00-19.00,FALSE,,Max 2 hrs,,FALSE,Max 2 hrs,317754,234740,Green,,"<Point><coordinates>-6.232456,53.350007</coordinates></Point>","-6.232456,53.350007</coordinates></Point>","-6.232456,53.350007",-6.232456,53.350007
964,Sheriff Street,,,,31/08/2009,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,Max 2 hrs,,FALSE,Max 2 hrs,317480,234773,Green,,"<Point><coordinates>-6.236557,53.350365</coordinates></Point>","-6.236557,53.350365</coordinates></Point>","-6.236557,53.350365",-6.236557,53.350365
965,Sheriff Street,,,,31/08/2009,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,Max 2.hrs,,FALSE,Max 2 hrs,317301,234789,Green,,"<Point><coordinates>-6.239237,53.350548</coordinates></Point>","-6.239237,53.350548</coordinates></Point>","-6.239237,53.350548",-6.239237,53.350548
966,Connaght Street,,,,31/08/2009,€ 1.60,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,314575,236099,Green,,"<Point><coordinates>-6.279679,53.36291</coordinates></Point>","-6.279679,53.36291</coordinates></Point>","-6.279679,53.36291",-6.279679,53.36291
967,Murtagh Road,,,,31/08/2009,€ 1.60,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,314102,234803,Green,,"<Point><coordinates>-6.287248,53.351373</coordinates></Point>","-6.287248,53.351373</coordinates></Point>","-6.287248,53.351373",-6.287248,53.351373
968,Grangegorman Upper (Orchard Tce),,,opposite no.63,31/08/2009,€ 1.60,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,314521,235482,Green,Y,"<Point><coordinates>-6.280713,53.35738</coordinates></Point>","-6.280713,53.35738</coordinates></Point>","-6.280713,53.35738",-6.280713,53.35738
969,Sandymount Road,,,at no. 5,14/09/2009,€ 1.00,at no.67,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,318665.48,233126.64,Orange,Y,"<Point><coordinates>-6.21938,53.335315</coordinates></Point>","-6.21938,53.335315</coordinates></Point>","-6.21938,53.335315",-6.21938,53.335315
970,Sandymount Road,,,at no 67,14/09/2009,€ 1.00,at no. 5,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,318782.36,232977.45,Orange,Y,"<Point><coordinates>-6.217683,53.333949</coordinates></Point>","-6.217683,53.333949</coordinates></Point>","-6.217683,53.333949",-6.217683,53.333949
971,Maidens Row,,,Oustide Island Apartments,21/09/2009,€ 1.00,None nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,310286,234407,Orange,Y,"<Point><coordinates>-6.344664,53.348625</coordinates></Point>","-6.344664,53.348625</coordinates></Point>","-6.344664,53.348625",-6.344664,53.348625
972,St. Columba's Road Upper,,,No. 14,21/09/2009,€ 1.60,St. Alphonsus Road,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,315700,236349,Green,Y,"<Point><coordinates>-6.262697,53.36491</coordinates></Point>","-6.262697,53.36491</coordinates></Point>","-6.262697,53.36491",-6.262697,53.36491
