Index,Street,Postal Code,No of spaces,Location,
192,Earl St South,D2,1,Sth/side Health Centre,
193,Eden Terrace,D9,1,Botanic Ave,
194,Effra Rd,D6,1,,
195,Elmwood Ave,D6,1,,
196,Essex St West,D8,1,West of Cow Lane,
197,Essex St West,D8,1,East of Fishamble St,
198,Eccles St,D7,1,,
199,Eccles St,D7,1,Staff Car Park,
200,Eccles Place N/side,D7,1,West of Dorset St,
201,Ebenezer Terrace,D8,1,,
202,Emmet Rd,D8,1,,
203,Erne Terrace N/side,D2,2,,
204,Fumbally Lane Court,D8,1,,
205,Fleet St,D2,1,At Hotel,
206,Grove Road,D6,1,,
208,Garville Ave,D6,1,,
209,Grove Park,D6,1,,
210,Greenmount Lane E/side,D12,1,,
211,Grosvenor Square,D6,1,,
213,Great Western Villas,D7,1,,
214,Haddington Road,D4,1,,
215,Hardwick Street,D1,1,,
216,Holly Bank Road,D9,1,,
217,Hamilton Street,D8,1,,
218,Hatch Street Upper,D2,1,Southside Earlsfort terrace,
219,Home Farm Road,D9,1,,
220,Hollis Street,,1,Hollis Row Westside,
221,Harolds Cross Road,D6W,1,,
222,Holly Bank Road,D9,1,,
223,Hasting Street,D4,1,,
224,Highfield Grove,D6,1,,
225,Heytesbury Lane,D4,1,,
226,Inchicore Road (Village),D8,1,,
227,Kenilworth Park,D6,1,,
228,Kilmainham Lane,D8,1,,
229,Kenilworth Park,D6,1,,
230,Kenilworth Road N/side,D6,1,,
233,Kenilworth Sq Sth,D6,1,,
234,Lawrence Grove,D3,1,,
235,Leinster Rd West,D6,1,,
236,Leinster Place,D6,1,,
237,Lennox St,D8,1,,
238,Leinster Rd West,D6,1,,
239,Main St Finglas,D11,2,Wallace Travel Agent,
240,Mercer Health Centre,D2,2,Stephens St Lr,
241,Main St Raheny,D5,1,Health Centre,
242,Margaret Place,D4,1,End of Road,
243,Mount Shannon Rd,D8,1,,
244,Millmount Terrace W/side,D9,1,,
245,Mount Shannon Rd,D8,1,,
248,Merrion Sq East W/side,D2,1,South of Mount St Lr,
249,Malachys Rd Glasnevin,D9,1,,
250,Margaret Place,D4,1,,
251,Marlborough Road,D4,1,,
253,Meath St,D8,1,West Side,
