id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
,7235,Leo Street,7,38 P n D / DP,Corner of Josephine St,25/06/2001,2.40,Synott Place 436,Mon-Fri 08.00-18.30,FALSE,,,replaced met.711 01/03/2010,FALSE,,Red,-6.264291,53.358958,01/08/2011 16:16:08,null
,7257,Oliver Bond Street,8,76 P n D / DP (Total),Good Counsel Centre,,2.40,Cornmarket 583,Mon-Fri 08.00-18.30,FALSE,,,replaced met.373,TRUE,,Red,-6.276822,53.344076,01/08/2011 16:16:08,null
,7279,Herbert Avenue,4,15 P n D / DP,Opposite Number 4,,1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,replaced met.821,FALSE,,Orange,-6.208829,53.316801,01/08/2011 16:16:08,null
,7314,St. Joseph's Street,7,21 P n D,At No. 18,,2.40,Leo Street 711,Mon-Sun 07.00-24.00,FALSE,,,replaced met 881  12/06/2009,TRUE,,Red,-6.26412,53.359477,01/08/2011 16:16:08,null
,7336,Military Road (Rathmines),6,25 P n D / DP,School,,1.60,William's Pk 291,Mon-Fri 08.00-18.30,FALSE,,,replaced met.292,TRUE,,Green,-6.266513,53.326974,01/08/2011 16:16:08,null
,7404,Eccles Street,7,36 P n D + 16 DP (Total),Opp. Mater Hospital,,2.40,Opposite Mater Hospital,Mon-Sat 07.00-19.00,FALSE,,,replaced met 703   12/06/2009,TRUE,,Red,-6.264723,53.357689,01/08/2011 16:16:08,null
,7448,Hatch Street Lower,2,49 P n D + 3 DP (Total),Colour Copy Centre,,2.90,5 On Hatch St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.138,TRUE,,Yellow,-6.255659,53.334141,01/08/2011 16:16:08,null
,7471,Beechwood Avenue Lower,6,126 P n D / DP,Opposite Ulster Bank,,1.60,Elmpark Avenue 297,Mon-Sat 07.00-24.00,FALSE,,,replaced met.302,TRUE,,Green,-6.25358,53.324402,01/08/2011 16:16:08,null
,7482,Strand Road(North Car Park),,41 P n D 4 Disabled Bays,,,0.60,none near enough,Mon-Fri 11.00-17.00,FALSE,,No Max stay,installed 21/04/2011,FALSE,,Blue,-6.208725,53.328379,01/08/2011 16:16:08,null
,7516,Bow Street,7,8 P n D + 8 DP,Opposite Junction Of May Lane,,2.40,New Church St 582,Mon-Sat 07.00-19.00,FALSE,,,replaced met.427    12/06/2009,TRUE,,Red,-6.276698,53.348184,01/08/2011 16:16:08,null
,7583,Baggot Street Lower,2,97 P n D + 4 DP (Total),Francis Bacon House,,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.3261,FALSE,,Yellow,-6.24688,53.335575,01/08/2011 16:16:08,null
