id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
,55,St. Brigid's Road (Artane),5,,Outside No. 48 St Brigid's Road,,0.60,,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Blue,-6.205195,53.381897,01/08/2011 16:16:08,null
,56,St. Brigid's Road Lower,9,40 P n D / DP,At Whitworth Rd Junction,23/04/2002,1.60,St. Patrick's Road 632,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,-6.262521,53.362598,01/08/2011 16:16:08,null
,57,Collin's Avenue East,5,22 P n D,Opposite Number 66,22/04/2002,1.00,Kilbride Rd 145,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.210015,53.373046,01/08/2011 16:16:08,null
,64,Fairview Avenue Upper,3,27 P n D,At Green,,1.00,Fairview Ave Lwr 466,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,-6.235049,53.365338,01/08/2011 16:16:08,null
,66,Bellevue (Coach Parking),8,,Guinness Brewery,,1.60,Grand Canal Place 8,COACHES ONLY 24 HRS,FALSE,,,,FALSE,,Green,-6.286043,53.341605,01/08/2011 16:16:08,null
,70,Larch Grove,6,8 P n D / DP,Off Sandford Road,17/04/2002,2.40,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,-6.246402,53.321642,01/08/2011 16:16:08,null
,71,Dartry Road,6,28 P n D / DP,At Dodder Walk,16/04/2002,1.00,None Nearby,Mon-Sun 07.00-21.00,FALSE,,,,FALSE,,Orange,-6.259641,53.308441,01/08/2011 16:16:08,null
,73,Ardagh Road,12,38 P n D / DP,Off Crumlin Road,16/04/2002,1.00,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,-6.303208,53.328784,01/08/2011 16:16:08,null
,74,Bow Lane West,8,26 P n D / DP,Opposite Number 4  n  East of Bow Bridge,,1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.295594,53.342812,01/08/2011 16:16:08,null
,75,Langrishe Place,1,22 P n D / DP,Off Summerhill,17/04/2002,2.40,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,-6.256001,53.354698,01/08/2011 16:16:08,null
,76,Sandymount Avenue,4,43 P n D / DP (Total),At Number 53,15/04/2002,1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,-6.218488,53.329228,01/08/2011 16:16:08,null
,109,Emmet Road,8,155 P n D / DP (Total),No 10,,1.00,Emmet Rd 154,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.308426,53.340543,01/08/2011 16:16:08,null
,127,Grattan Crescent,8,23 P n D (Total),Opposite Park,,1.00,Grattan Crescent 663,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.320149,53.34092,01/08/2011 16:16:08,null
,128,Annadale Avenue,3,27 P n D / DP,Off Phillipsburgh Avenue,,1.00,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,-6.240134,53.36671,01/08/2011 16:16:08,null
,134,Victoria Quay,8,10 P n D,West Of Watling Street Bridge,,1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,-6.2854,53.346504,01/08/2011 16:16:08,null
,135,Parkgate Street,8,13 P n D + 3 DP (Total),Opposite Cowan's Motors,,1.00,Parkgate St 113,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.293873,53.348005,01/08/2011 16:16:08,null
,139,Hatch Street Lower,2,49 P n D + 3 DP (Total),No 25,,2.90,5 On Hatch St Lwr,Mon-Sat 07.00-19.00,FALSE,,,S.Side West of Leeson St,TRUE,,Yellow,-6.256714,53.333858,01/08/2011 16:16:08,null
,144,Royal Canal Bank,7,58 P n D / DP,At Number 1,,1.60,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,-6.271167,53.361286,01/08/2011 16:16:08,null
,154,Emmet Road,8,155 P n D / DP (Total),No 13 / West of N'side SCR,11/12/1998,1.00,Emmet Rd 109,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.309926,53.340684,01/08/2011 16:16:08,null
,155,Killester Avenue,5,17 P n D / DP,At Number 44,,1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,-6.209511,53.375277,01/08/2011 16:16:08,null
,158,Iona Road,9,14 P n D / DP,Junction Of Botanic Road,,1.60,Lindsay Rd 7,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.270772,53.36671,01/08/2011 16:16:08,null
,161,Frankfort Avenue,6,96 P n D / DP,At Number 75,,1.00,Leicester Ave 738,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,-6.268938,53.316567,01/08/2011 16:16:08,null
,162,Victoria Road,6,67 P n D / DP,Junction of Zion Road,,1.00,Herzog Pk 21,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,-6.274149,53.309066,01/08/2011 16:16:08,null
,163,Brunswick Street North,7,24 P n D / DP (Total),At Boys' School,,2.40,Brunswick St N 641,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,-6.27901,53.350482,01/08/2011 16:16:08,null
,165,St. Agnes' Road,12,19 P n D,At Car Park Opposite AIB Crumlin,25/04/2002,1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.316975,53.316525,01/08/2011 16:16:08,null
,181,Wellington Road,4,126 P n D / DP (Total),No 1A,,2.90,4 On Pembroke Rd,Mon-Fri 08.00-18.30,FALSE,,Mon - Fri,,TRUE,,Yellow,-6.240824,53.331698,01/08/2011 16:16:08,null
,226,Burlington Road,4,144 P n D / DP (Total),Ark Life Assurance,,2.90,5 On Burlington Rd,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Yellow,-6.245628,53.331631,01/08/2011 16:16:08,null
,228,Charlemont Mall,2,70 P n D / DP (Total),At Light-Stand 12,17/04/2001,2.40,Charlemont Mall Charlemont Mall 126 (€2.90),Mon-Fri  08.00-18.30,FALSE,,,replaced met.668  03/03/2010,TRUE,,Red,-6.263337,53.330308,01/08/2011 16:16:08,null
,233,Arran Street East,7,5 P n D + 12 DP,Opposite Number 3,,2.90,5 On Ormond Quay Upr,Mon-Sat 07.00-19.00,FALSE,,,W.Side = south of Ormond Square,TRUE,,Yellow,-6.270049,53.346285,01/08/2011 16:16:08,null
,235,Harcourt Terrace,2,33 P n D / DP,Opposite Number 19,,2.90,6 On Adelaide Road,Mon-Sat 07.00-19.00,FALSE,,DP Mon-Sat,W.Side = South of Adelaide Rd,TRUE,,Yellow,-6.257816,53.332036,01/08/2011 16:16:08,null
,244,Emmet Road,8,155 P n D / DP (Total),East of S'side St Vincent Street,,1.00,Emmet Rd 652,Mon-Sat 07.00-19.00,FALSE,,P n D Mon - Fri,,TRUE,,Orange,-6.318334,53.339719,01/08/2011 16:16:08,null
,248,Pembroke Road,4,103 P n D / DP (Total),Number 78-80,,2.90,4 On Pembroke Rd,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.238533,53.332462,01/08/2011 16:16:08,null
,272,St. Mary's Place North,7,14 P n D (Total),At Christian Brothers' School,,2.40,St. Mary's Place Nth 273,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.267273,53.354436,01/08/2011 16:16:08,null
,273,St. Mary's Place North,7,14 P n D (Total),At Flats,,2.40,St. Mary's Place Nth 272,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.267424,53.354311,01/08/2011 16:16:08,null
,298,Marlborough Road,4,64 P n D / DP,No 90,,2.40,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,-6.245535,53.322739,01/08/2011 16:16:08,null
,304,St. Mary's Road South,4,108 P n D / DP (Total),Junction Of Northumberland Road,,2.90,St. Mary's Rd Sth 329,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.23725,53.334617,01/08/2011 16:16:08,null
,306,Clontarf Road,3,29 P n D / DP (Total),At Number 10,,1.00,None Nearby,Mon-Fri 07.00-24.00,FALSE,,,,TRUE,,Orange,-6.224005,53.363649,01/08/2011 16:16:08,null
,316,Longwood Avenue,2,71 P n D / DP,Junction Of South Circular Road,,2.40,3 On Clanbrassil St,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,-6.273481,53.331978,01/08/2011 16:16:08,null
,318,Kenilworth Square North,6,76 P n D / DP,Opposite Number 88A,,1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,-6.274855,53.319699,01/08/2011 16:16:08,null
,324,Richmond Street South,2,8 P n D + 4 DP,Opposite Number 59 (AIB),,2.40,3 On Lennox Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.264671,53.332239,01/08/2011 16:16:08,null
,326,Wesley Road,6,30 P n D / DP,At Post Office,,1.00,Rathgar Rd 166,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Orange,-6.273077,53.313642,01/08/2011 16:16:08,null
,335,Watling Street,8,18 P n D,At Emmet Buildings,,2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.284886,53.344366,01/08/2011 16:16:08,null
,336,Milltown Road,6,,Opposite No. 38,,1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.255824,53.308346,01/08/2011 16:16:08,null
,338,Castlewood Terrace,6,15 P n D / DP,At Number 12,,2.40,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,-6.263004,53.323426,01/08/2011 16:16:08,null
,352,High Street,8,9 P n D,At Church,19/04/1999,2.90,Cook St 231,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.273371,53.343296,01/08/2011 16:16:08,null
,353,Amiens Street,1,58 P n D (Total),Local Employment Centre,19/04/1999,2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,TRUE,,,,TRUE,,Red,-6.248149,53.3535,01/08/2011 16:16:08,null
,354,Amiens Street,1,58 P n D (Total),Corner of Preston St,19/04/1999,2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.248047,53.353279,01/08/2011 16:16:08,null
,355,Amiens Street,1,58 P n D (Total),Near Number 85,19/04/1999,2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.247186,53.354068,01/08/2011 16:16:08,null
,356,Amiens Street,1,58 P n D (Total),No 3,19/04/1999,2.40,6 On Amiens Street,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.247249,53.354342,01/08/2011 16:16:08,null
,362,Francis Street,8,43 P n D + 26 DP (Total),No 32,19/04/1999,2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.274926,53.341698,01/08/2011 16:16:08,null
,363,Francis Street,8,43 P n D + 26 DP (Total),Opposite Viking Lodge Pub,19/04/1999,2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.275097,53.34159,01/08/2011 16:16:08,null
,364,Francis Street,8,43 P n D + 26 DP (Total),No 104,19/04/1999,2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.274594,53.340868,01/08/2011 16:16:08,null
,365,Francis Street,8,43 P n D + 26 DP (Total),No 54,19/04/1999,2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.274332,53.340752,01/08/2011 16:16:08,null
,366,Francis Street,8,43 P n D + 26 DP (Total),No 64,19/04/1999,2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.273701,53.339684,01/08/2011 16:16:08,null
,368,Brookvale Road (Donnybrook),4,16 P n D / DP,Off Eglinton Road,,2.40,Eglinton Rd 454,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.233815,53.318385,01/08/2011 16:16:08,null
,370,Merrion Road,4,17 P n D / DP,At Sony Centre / Ballsbridge Park Junction,27/04/1999,2.40,Anglesea Road 288,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.23012,53.328837,01/08/2011 16:16:08,null
,384,South Lotts Road,4,63 P n D / DP (Total),Opp no 33,,2.40,3 On South Lotts Rd,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,-6.233186,53.338579,01/08/2011 16:16:08,null
,385,Nutley Avenue,4,160 P n D / DP,Corner of Nutley Lane,,1.60,Nutley Lane 471,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Green,-6.216111,53.318152,01/08/2011 16:16:08,null
,391,Serpentine Avenue,4,60 P n D / DP (Total),Opposite no 15,,2.40,Serpentine Ave 845,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Red,-6.226018,53.328678,01/08/2011 16:16:08,null
,403,Sandymount Village,4,46 P n D / DP (Total),At Seafort Avenue,,1.00,6 In Sandymount Village,Mon-Sat 07.00-24.00,FALSE,,,Weast side =North of Sandymount road,TRUE,,Orange,-6.215282,53.332721,01/08/2011 16:16:08,null
,404,Sandymount Village,4,46 P n D / DP (Total),At the Green / Takeaway,,1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,North side =east of seafort ave,TRUE,,Orange,-6.214858,53.332124,01/08/2011 16:16:08,null
,405,Sandymount Village,4,46 P n D / DP (Total),At the Green / No 14,,1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,south side =east of nut grove gardens,TRUE,,Orange,-6.214833,53.331655,01/08/2011 16:16:08,null
,407,Sandymount Village,4,46 P n D / DP (Total),At Sandymount Road / No 85 / Xtra Vision,,1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,West side =South of marine drive,TRUE,,Orange,-6.216436,53.333074,01/08/2011 16:16:08,null
,408,Sandymount Village,4,46 P n D / DP (Total),At Sandymount Road / Post office,,1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,East side =South of Marine Drive,TRUE,,Orange,-6.216173,53.333043,01/08/2011 16:16:08,null
,426,St. Ignatius' Road,7,112 P n D / DP,Near corner of Drumcondra Rd,,1.60,Drumcondra Rd Lwr 848,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Green,-6.260493,53.361194,01/08/2011 16:16:08,null
,454,Eglinton Road,4,80 P n D / DP (Total),At Number 30,15/04/2002,2.40,Brookvale Road 368,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,-6.237891,53.318393,01/08/2011 16:16:08,null
,455,Ballyfermot Road,10,83 P n D (Total),At Kiely's Pharmacy (Number 280),,0.60,Ballyfermot Rd 756,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Blue,-6.351279,53.342211,01/08/2011 16:16:08,null
,461,Sandwith Street,2,43 P n D / DP,At Apartments,01/02/2000,2.90,Townsend St 284,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Yellow,-6.246828,53.344488,01/08/2011 16:16:08,null
,464,Pembroke Park,4,76 P n D / DP,Number 27,01/02/2000,2.40,Herbert Park 293,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,-6.240016,53.326632,01/08/2011 16:16:08,null
,465,St Kevin's Parade,8,110 P n D,No 27,01/02/2000,2.40,Ovoca Rd 588,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,-6.272861,53.334108,01/08/2011 16:16:08,null
,467,Annamoe Road,7,4 P n D + 8 DP,Hanlon's Pub,01/02/2000,1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,North side east of old cabra road,TRUE,,Green,-6.288442,53.357421,01/08/2011 16:16:08,null
,480,Francis Street,8,43 P n D + 26 DP (Total),Near Tivoli,27/03/2000,2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.275866,53.342713,01/08/2011 16:16:08,null
,482,Killester DART Station,5,,At DART Station,03/12/2001,1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Orange,-6.204202,53.373021,01/08/2011 16:16:08,null
,489,Hatch Street Upper,2,58 P n D (Total),Styne House,29/03/2000,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.261741,53.334092,01/08/2011 16:16:08,null
,496,St. John's Road West,8,,Opposite Heuston Station,13/04/2002,1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,-6.293324,53.345898,01/08/2011 16:16:08,null
,499,Terenure Road North,6,7 P n D (Total),At Charity Shop,,1.00,Brighton Sq 146,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.280736,53.316698,01/08/2011 16:16:08,null
,506,Pembroke Road,4,103 P n D / DP (Total),Wellington Road,29/04/2000,2.90,4 On Pembroke Rd,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.24017,53.332487,01/08/2011 16:16:08,null
,521,Kirwan Street,7,23 P n D / DP,No 12-13,09/05/2000,1.60,3 on Manor St,Mon-Fri 08.00-18.30,FALSE,,,4 on Manor Street,TRUE,,Green,-6.282843,53.352741,01/08/2011 16:16:08,null
,533,Hollybrook Road,3,52 P n D,No 51 Corner of Clontarf Rd,11/05/2000,1.00,Clontarf Road 832,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Orange,-6.218677,53.363147,01/08/2011 16:16:08,null
,535,Eglinton Road,4,80 P n D / DP (Total),At Number 77,15/04/2002,2.40,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.24034,53.318536,01/08/2011 16:16:08,null
,536,Morning Star Avenue,7,,Opposite Whitworth Hall,15/05/2000,2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.275778,53.35163,01/08/2011 16:16:08,null
,538,Simmonscourt Road,4,72 P n D / DP (Total),Near Entrance To RDS Showgrounds,18/05/2000,2.40,3 On Simmonscourt Rd,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,-6.22689,53.325636,01/08/2011 16:16:08,null
,539,Simmonscourt Road,4,72 P n D / DP (Total),Entrance to RDS showgrounds,18/05/2000,2.40,3 On Simmonscourt Rd,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,-6.228876,53.324802,01/08/2011 16:16:08,null
,545,Cabra Road,7,18 P n D,Xtra-Vision,06/06/2000,1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,-6.284548,53.361172,01/08/2011 16:16:08,null
,547,Glengarriff Parade,7,82 P n D / DP,Opp no 9 Corner of NCRd,07/06/2000,1.60,Innisfallen Parade 423,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,-6.266034,53.36043,01/08/2011 16:16:08,null
,549,Rosemount Road,7,32 P n D / DP,At NCR Junction / At Side Of Number 284,21/06/2000,2.40,Nth Circular Rd 59,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.278915,53.359493,01/08/2011 16:16:08,null
,551,St. Patrick's Close,8,6 P n D / DP,Corner Of Kevin Street,06/07/2000,2.90,Bull Alley St 323,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.270558,53.338489,01/08/2011 16:16:08,null
,560,Blackberry Lane,6,11 P n D / DP,Corner of Rathmines Road Lower,25/07/2000,1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,-6.264734,53.328557,01/08/2011 16:16:08,null
,563,Blessington Street,7,49 P n D / DP (Total),Number 68,16/08/2000,2.40,Blessington St 250,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,-6.266972,53.35644,01/08/2011 16:16:08,null
,567,Mount Argus (Harold's Cross),6,4 P n D,At Church Main Gate,,1.60,Harold's Cross Road 728,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,-6.27995,53.324112,01/08/2011 16:16:08,null
,568,St. Anne's Road South,8,24 P n D / DP,Junction of South Circular Road,05/09/2000,1.00,Dolphin Avenue 835,Mon-Sat 08.00-18.30,FALSE,,,,TRUE,,Orange,-6.285954,53.331962,01/08/2011 16:16:08,null
,569,Conyngham Road,8,46 P n D + 12 DP (Total),At Parkgate (Sarsfields) Motors,12/09/2000,1.00,Conyngham Rd 731,Mon-Fri 10.00-16.00,TRUE,before10.00after16.00,,,TRUE,,Orange,-6.299121,53.348137,01/08/2011 16:16:08,null
,583,Cornmarket Street,8,7 P n D,MRCB,06/10/2000,2.90,Oliver Bond St 383,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,-6.275452,53.34334,01/08/2011 16:16:08,null
,585,South Circular Road,8,10 P n D / DP (Total),At Number 599,,1.00,Emmet Rd 109,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.306576,53.339248,01/08/2011 16:16:08,null
,602,Anglesea Road,4,105 P n D / DP (Total),North of W'side Ailesbury Drive,03/03/2001,2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.230835,53.321291,01/08/2011 16:16:08,null
,616,Old Kilmainham,8,18 P n D / DP,At Number 31,06/03/2001,1.00,Mount Brown 617,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Orange,-6.304533,53.340801,01/08/2011 16:16:08,null
,617,Mount Brown,8,6 P n D + 33 DP (Total),At No 80,06/03/2001,1.00,Old Kilmainham 616,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.302521,53.340799,01/08/2011 16:16:08,null
,618,Mount Brown,8,6 P n D + 33 DP (Total),Between 25  n  26,06/03/2001,1.00,Mount Brown 619,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.298682,53.341445,01/08/2011 16:16:08,null
,622,James' Street,8,22 P n D + 9 DP (Total),At 176  n  Opposite entrance to St. James' Hospital,07/03/2001,1.00,Mount Brown 619 (€1.00),Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.294669,53.342295,01/08/2011 16:16:08,null
,624,Grand Canal Street Upper,4,56 P n D / DP,Opposite Number 26,07/03/2001,2.90,Shelbourne Rd 654,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Yellow,-6.235937,53.33773,01/08/2011 16:16:08,null
,628,Barrow Street,4,85 P n D / DP (Total),Opposite Number 16,07/03/2001,2.40,Barrow St 627,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,-6.236245,53.341483,01/08/2011 16:16:08,null
,637,South Lotts Road,4,63 P n D / DP (Total),At ESB,12/03/2001,2.40,3 On South Lotts Rd,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,-6.232524,53.339342,01/08/2011 16:16:08,null
,641,Brunswick Street North,7,24 P n D / DP (Total),Opposite Kebry print,,2.40,Brunswick St N 163,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,-6.27968,53.350518,01/08/2011 16:16:08,null
,645,South Circular Road,8,17 P n D / DP,Outside number 448,12/03/2001,1.00,South Circular Rd 168,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.293018,53.33475,01/08/2011 16:16:08,null
,655,Merrion Road,4,11 P n D / DP,At Number 180,05/04/2001,1.60,Merrion View Ave 130,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,-6.21188,53.318607,01/08/2011 16:16:08,null
,659,Sydenham Road,4,25 P n D / DP,Opposite Merrion Hall,05/04/2001,2.40,Serpentine Ave 391,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Red,-6.225221,53.3277,01/08/2011 16:16:08,null
,660,Richmond Avenue,6,39 P n D / DP,At Number 2,05/04/2001,1.60,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,Disc parking,FALSE,,Green,-6.243382,53.36345,01/08/2011 16:16:08,null
,664,Shrewsbury Road,4,133 P n D / DP (Total),At Number 18,,1.60,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,-6.223241,53.32216,01/08/2011 16:16:08,null
,675,Vernon Avenue,3,34 P n D + 20 DP,At Number 9,23/04/2001,1.00,Clontarf Road 778,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.195895,53.359603,01/08/2011 16:16:08,null
,680,Lansdowne Park,4,41 P n D / DP,At Number 45,30/04/2001,2.90,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,Disc parking (8.30-18.00),FALSE,,Yellow,-6.234668,53.333738,01/08/2011 16:16:08,null
,682,Stirrup Lane,7,16 P n D / DP,Church Street To Beresford Street,,2.90,Beresford St 261,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.273993,53.3499,01/08/2011 16:16:08,null
,694,Chester Road,6,27 P n D / DP,At Mount Pleasant Avenue,,2.40,Mountpleasant Sq 432,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,-6.257832,53.325152,01/08/2011 16:16:08,null
,700,New Row South,8,29 P n D / DP,Outside no.11,11/06/2001,2.40,6 On Francis St,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,-6.273785,53.338393,01/08/2011 16:16:08,null
,704,Swords Road,9,5 P n D,At Iveragh Road Junction,19/06/2001,1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.245639,53.3808,01/08/2011 16:16:08,null
,707,Auburn Street,7,30 P n D / DP,At No. 13,19/06/2001,2.40,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,-6.271634,53.356387,01/08/2011 16:16:08,null
,709,Bloomfield Avenue (Portobello),8,85 P n D / DP,Opposite Locks restaurant,25/06/2001,2.40,Winsdor Tce 779,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,-6.271515,53.329917,01/08/2011 16:16:08,null
,712,St. Assam's Road West,5,8 P n D,Opposite BOI Car Park,25/06/2001,0.60,Raheny Village 718,Mon-Fri 08.00-19.00,FALSE,,,,FALSE,,Blue,-6.172027,53.380791,01/08/2011 16:16:08,null
,714,Blackpitts,8,25 P n D / DP,Junction of Old Mill Court,06/07/2001,2.40,Clanbrassil Tce 773,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.275121,53.335913,01/08/2011 16:16:08,null
,719,Oliver Bond Street,8,76 P n D / DP (Total),Opposite Car Park,08/08/2001,2.40,Bridgefoot St 801,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.280456,53.343914,01/08/2011 16:16:08,null
,725,Gulistan Terrace,6,17 P n D / DP,Opposite No. 23,,2.40,Mountpleasant Avenue Upper 882,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,-6.260829,53.324921,01/08/2011 16:16:08,null
,726,Harold's Cross Road,6,58 P n D / DP (Total),At Number 74,28/08/2001,1.60,Harold's Cross Rd 727,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.278159,53.326535,01/08/2011 16:16:08,null
,727,Harold's Cross Road,6,58 P n D / DP (Total),At the fork in the Road,28/09/2001,1.60,Harold's Cross Rd 726,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.277891,53.326371,01/08/2011 16:16:08,null
,729,Harold's Cross Road,6,58 P n D / DP (Total),Across from Century House,28/08/2001,1.60,Tivoli Ave 793,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,-6.27888,53.319756,01/08/2011 16:16:08,null
